freq, win, val
0.25,0.8125,1.3451260453691728e-17
0.25,0.9140625,1.3451260453691728e-17
0.25,1.015625,1.3451260453691728e-17
0.25,1.1171875,1.3451260453691728e-17
0.25,1.21875,1.3451260453691728e-17
0.25,1.3203125,1.3451260453691728e-17
0.25,1.421875,1.3451260453691728e-17
0.25,1.5234375,1.3451260453691728e-17
0.25,1.625,1.3451260453691728e-17
0.25,1.7265625,1.3451260453691728e-17
0.25,1.828125,1.3451260453691728e-17
0.25,1.9296875,1.3451260453691728e-17
0.25,2.03125,1.3451260453691728e-17
0.25,2.1328125,1.3451260453691728e-17
0.25,2.234375,1.3451260453691728e-17
0.25,2.3359375,1.3451260453691728e-17
0.25,2.4375,1.3451260453691728e-17
0.25,2.5390625,2.0401440524297572e-17
0.25,2.640625,2.0401440524297572e-17
0.25,2.7421875,2.0401440524297572e-17
0.25,2.84375,2.0401440524297572e-17
0.25,2.9453125,2.0401440524297572e-17
0.25,3.046875,2.0401440524297572e-17
0.25,3.1484375,2.0401440524297572e-17
0.25,3.25,2.0401440524297572e-17
0.25,3.3515625,2.0401440524297572e-17
0.25,3.453125,2.0401440524297572e-17
0.25,3.5546875,2.0401440524297572e-17
0.25,3.65625,2.0401440524297572e-17
0.25,3.7578125,2.0401440524297572e-17
0.25,3.859375,2.0401440524297572e-17
0.25,3.9609375,2.0401440524297572e-17
0.25,4.0625,2.0401440524297572e-17
0.25,4.1640625,2.0401440524297572e-17
0.25,4.265625,2.0401440524297572e-17
0.25,4.3671875,2.0401440524297572e-17
0.25,4.46875,2.0401440524297572e-17
0.25,4.5703125,2.0401440524297572e-17
0.25,4.671875,2.0401440524297572e-17
0.25,4.7734375,2.0401440524297572e-17
0.25,4.875,2.0401440524297572e-17
0.25,4.9765625,2.0401440524297572e-17
0.25,5.078125,1.9310688516680544e-17
0.25,5.1796875,1.9310688516680544e-17
0.25,5.28125,1.9310688516680544e-17
0.25,5.3828125,1.9310688516680544e-17
0.25,5.484375,1.9310688516680544e-17
0.25,5.5859375,1.9310688516680544e-17
0.25,5.6875,1.9310688516680544e-17
0.25,5.7890625,1.9310688516680544e-17
0.25,5.890625,1.9310688516680544e-17
0.25,5.9921875,1.9310688516680544e-17
0.25,6.09375,1.9310688516680544e-17
0.25,6.1953125,1.9310688516680544e-17
0.25,6.296875,1.9310688516680544e-17
0.25,6.3984375,1.9310688516680544e-17
0.25,6.5,1.9310688516680544e-17
0.25,6.6015625,1.9310688516680544e-17
0.25,6.703125,1.9310688516680544e-17
0.25,6.8046875,1.9310688516680544e-17
0.25,6.90625,1.9310688516680544e-17
0.25,7.0078125,1.9310688516680544e-17
0.25,7.109375,1.9310688516680544e-17
0.25,7.2109375,1.9310688516680544e-17
0.25,7.3125,1.9310688516680544e-17
0.25,7.4140625,1.9310688516680544e-17
0.25,7.515625,1.9310688516680544e-17
0.25,7.6171875,8.761646143176973e-18
0.25,7.71875,8.761646143176973e-18
0.25,7.8203125,8.761646143176973e-18
0.25,7.921875,8.761646143176973e-18
0.375,0.0,1.2550874321042525e-18
0.375,0.1015625,1.2550874321042525e-18
0.375,0.203125,1.2550874321042525e-18
0.375,0.3046875,1.2550874321042525e-18
0.375,0.40625,1.2550874321042525e-18
0.375,0.5078125,1.2550874321042525e-18
0.375,0.609375,1.2550874321042525e-18
0.375,0.7109375,1.2550874321042525e-18
0.375,0.8125,1.2550874321042525e-18
0.375,0.9140625,1.2550874321042525e-18
0.375,1.015625,1.2550874321042525e-18
0.375,1.1171875,1.2550874321042525e-18
0.375,1.21875,1.2550874321042525e-18
0.375,1.3203125,1.2550874321042525e-18
0.375,1.421875,1.2550874321042525e-18
0.375,1.5234375,1.2550874321042525e-18
0.375,1.625,1.2550874321042525e-18
0.375,1.7265625,1.2550874321042525e-18
0.375,1.828125,1.2550874321042525e-18
0.375,1.9296875,1.2550874321042525e-18
0.375,2.03125,1.2550874321042525e-18
0.375,2.1328125,1.2550874321042525e-18
0.375,2.234375,1.2550874321042525e-18
0.375,2.3359375,1.2550874321042525e-18
0.375,2.4375,1.2550874321042525e-18
0.375,2.5390625,3.2759647010828728e-18
0.375,2.640625,3.2759647010828728e-18
0.375,2.7421875,3.2759647010828728e-18
0.375,2.84375,3.2759647010828728e-18
0.375,2.9453125,3.2759647010828728e-18
0.375,3.046875,3.2759647010828728e-18
0.375,3.1484375,3.2759647010828728e-18
0.375,3.25,3.2759647010828728e-18
0.375,3.3515625,3.2759647010828728e-18
0.375,3.453125,3.2759647010828728e-18
0.375,3.5546875,3.2759647010828728e-18
0.375,3.65625,3.2759647010828728e-18
0.375,3.7578125,3.2759647010828728e-18
0.375,3.859375,3.2759647010828728e-18
