freq, win, val
0.5,2.0109375,1.7872629883913545e-30
0.5,2.0625,1.7872629883913545e-30
0.5,2.1140625,1.7872629883913545e-30
0.5,2.165625,1.7872629883913545e-30
0.5,2.2171875,1.7872629883913545e-30
0.5,2.26875,1.7872629883913545e-30
0.5,2.3203125,1.7872629883913545e-30
0.5,2.371875,1.7872629883913545e-30
0.5,2.4234375,1.7872629883913545e-30
0.5,2.475,1.7872629883913545e-30
0.5,2.5265625,1.7872629883913545e-30
0.5,2.578125,4.686943112660777e-30
0.5,2.6296875,4.686943112660777e-30
0.5,2.68125,4.686943112660777e-30
0.5,2.7328125,4.686943112660777e-30
0.5,2.784375,4.686943112660777e-30
0.5,2.8359375,4.686943112660777e-30
0.5,2.8875,4.686943112660777e-30
0.5,2.9390625,4.686943112660777e-30
0.5,2.990625,4.686943112660777e-30
0.5,3.0421875,4.686943112660777e-30
0.5,3.09375,4.686943112660777e-30
0.5,3.1453125,4.686943112660777e-30
0.5,3.196875,4.686943112660777e-30
0.5,3.2484375,4.686943112660777e-30
0.5,3.3,4.686943112660777e-30
0.5,3.3515625,4.686943112660777e-30
0.5,3.403125,4.686943112660777e-30
0.5,3.4546875,4.686943112660777e-30
0.5,3.50625,4.686943112660777e-30
0.5,3.5578125,4.686943112660777e-30
0.5,3.609375,4.686943112660777e-30
0.5,3.6609375,4.686943112660777e-30
0.5,3.7125,4.686943112660777e-30
0.5,3.7640625,4.686943112660777e-30
0.5,3.815625,4.686943112660777e-30
0.5,3.8671875,4.930380657631325e-31
0.5,3.91875,4.930380657631325e-31
0.5,3.9703125,4.930380657631325e-31
0.5,4.021875,4.930380657631325e-31
0.5,4.0734375,4.930380657631325e-31
0.5,4.125,4.930380657631325e-31
0.5,4.1765625,4.930380657631325e-31
0.5,4.228125,4.930380657631325e-31
0.5,4.2796875,4.930380657631325e-31
0.5,4.33125,4.930380657631325e-31
0.5,4.3828125,4.930380657631325e-31
0.5,4.434375,4.930380657631325e-31
0.5,4.4859375,4.930380657631325e-31
0.5,4.5375,4.930380657631325e-31
0.5,4.5890625,4.930380657631325e-31
0.5,4.640625,4.930380657631325e-31
0.5,4.6921875,4.930380657631325e-31
0.5,4.74375,4.930380657631325e-31
0.5,4.7953125,4.930380657631325e-31
0.5,4.846875,4.930380657631325e-31
0.5,4.8984375,4.930380657631325e-31
0.5,4.95,4.930380657631325e-31
0.5,5.0015625,4.930380657631325e-31
0.5,5.053125,4.930380657631325e-31
0.5,5.1046875,4.930380657631325e-31
0.5,5.15625,5.4850484816148484e-30
0.5,5.2078125,5.4850484816148484e-30
0.5,5.259375,5.4850484816148484e-30
0.5,5.3109375,5.4850484816148484e-30
0.5,5.3625,5.4850484816148484e-30
0.5,5.4140625,5.4850484816148484e-30
0.5,5.465625,5.4850484816148484e-30
0.5,5.5171875,5.4850484816148484e-30
0.5,5.56875,5.4850484816148484e-30
0.5,5.6203125,5.4850484816148484e-30
0.5,5.671875,5.4850484816148484e-30
0.5,5.7234375,5.4850484816148484e-30
0.5,5.775,5.4850484816148484e-30
0.5,5.8265625,5.4850484816148484e-30
0.5,5.878125,5.4850484816148484e-30
0.5,5.9296875,5.4850484816148484e-30
0.5,5.98125,5.4850484816148484e-30
0.5,6.0328125,5.4850484816148484e-30
0.5,6.084375,5.4850484816148484e-30
0.5,6.1359375,5.4850484816148484e-30
0.5,6.1875,5.4850484816148484e-30
0.5,6.2390625,5.4850484816148484e-30
0.5,6.290625,5.4850484816148484e-30
0.5,6.3421875,5.4850484816148484e-30
0.5,6.39375,5.4850484816148484e-30
0.5,6.4453125,4.3880387852918775e-30
0.5,6.496875,4.3880387852918775e-30
0.5,6.5484375,4.3880387852918775e-30
0.5,6.6,4.3880387852918775e-30
